1000 1000
401 917 95
715 664 31
748 14 77
148 646 84
193 867 39
607 124 51
467 928 5
697 405 12
853 689 49
730 521 51
796 138 91
220 303 96
986 462 75
651 54 13
102 153 82
574 571 51
188 814 88
233 291 16
889 133 52
212 602 94
431 921 61
97 170 50
586 699 28
114 836 77
324 302 45
125 341 67
603 658 94
933 737 88
399 222 33
629 146 44
223 184 80
411 92 84
501 823 90
957 139 19
291 112 79
746 249 69
506 703 89
771 834 24
105 315 50
715 568 21
696 866 73
299 138 89
991 768 16
90 995 6
811 785 60
313 144 14
365 433 61
853 210 22
905 80 69
795 176 60
236 436 1
365 31 17
447 148 91
528 683 64
138 635 32
581 827 0
582 214 71
625 29 9
554 320 86
317 16 28
820 263 11
587 909 35
25 768 24
26 280 81
407 129 30
734 253 49
413 947 93
709 35 61
179 863 26
949 433 59
415 670 35
142 191 53
524 529 89
858 620 93
263 318 75
916 696 91
599 391 16
805 326 53
62 889 19
163 632 27
771 561 37
41 985 48
631 530 95
954 640 1
909 128 98
979 587 30
872 368 18
782 765 3
944 107 24
176 549 81
229 132 39
576 815 13
970 233 79
19 729 0
893 214 13
287 738 45
979 607 61
656 218 54
532 787 3
338 448 16
105 454 42
824 629 87
584 669 26
597 422 35
454 524 54
961 869 82
824 599 48
438 460 87
515 140 70
369 508 96
438 115 66
349 457 42
453 963 17
199 76 88
718 739 11
573 691 62
485 529 82
262 949 40
880 976 4
274 245 27
477 874 92
991 705 57
832 402 88
304 217 53
86 919 94
986 723 92
493 101 72
244 158 49
94 565 49
97 550 90
566 172 0
747 555 30
30 40 37
561 185 73
409 893 74
173 690 24
810 93 91
942 840 0
358 512 48
476 761 52
593 674 34
793 341 48
577 93 93
614 146 90
836 220 68
801 693 57
310 194 36
595 386 20
91 748 12
388 94 10
237 838 21
12 703 88
42 309 50
264 589 1
613 997 34
378 971 26
890 93 54
651 582 31
622 857 46
88 574 20
764 839 55
179 125 71
311 817 77
949 497 23
952 642 76
131 241 26
310 696 10
353 238 96
459 521 26
219 112 60
150 877 50
690 787 71
502 8 16
235 845 93
947 362 64
754 357 79
363 94 92
875 862 55
34 388 63
320 898 52
691 332 75
658 897 60
493 46 48
857 560 70
506 697 3
433 550 24
506 34 24
354 57 67
884 272 78
499 55 25
755 46 69
4 392 99
200 728 79
844 355 3
129 246 41
44 918 96
633 960 54
355 194 8
475 772 32
13 118 74
574 908 77
990 739 73
363 689 39
516 728 53
431 55 45
480 817 79
976 23 35
142 488 23
767 638 3
962 404 1
134 356 48
512 559 4
185 549 91
419 251 53
314 253 43
148 58 60
290 210 16
77 678 98
50 965 6
725 935 64
734 148 78
526 17 18
834 104 14
182 615 34
743 294 9
287 28 38
66 889 25
812 246 8
583 53 3
221 816 28
563 52 39
46 854 31
622 34 17
242 572 55
449 233 51
821 682 37
166 749 84
447 637 78
299 566 34
101 319 52
100 520 2
632 971 47
318 839 42
183 541 98
561 724 28
972 631 7
656 765 81
90 491 23
950 948 86
240 10 92
778 721 46
389 321 82
525 403 47
655 849 94
821 980 58
586 576 8
604 483 96
769 453 79
133 84 88
417 532 66
564 357 68
325 878 6
763 836 59
7 747 15
376 823 86
923 927 71
413 40 25
91 38 91
305 750 45
282 636 18
521 292 53
220 708 91
557 144 57
835 663 34
335 425 25
521 111 13
655 885 91
201 314 40
741 68 62
797 175 18
257 147 0
342 598 25
188 35 34
519 50 59
942 388 40
243 866 53
609 52 39
683 262 6
548 677 90
612 912 18
854 852 7
511 678 8
398 804 99
478 257 38
463 24 44
853 792 61
263 895 67
85 207 61
386 228 29
680 120 19
58 84 28
942 851 7
110 854 16
870 645 19
494 458 20
574 508 89
780 854 83
194 250 37
711 547 15
942 216 78
956 549 26
564 920 50
615 434 25
508 647 42
774 278 82
510 248 77
11 688 89
750 1 47
106 254 43
77 213 52
258 950 37
758 890 76
634 796 45
338 398 41
112 983 86
492 652 88
403 517 26
883 409 70
680 901 14
53 794 43
60 679 69
785 835 45
727 94 42
967 813 76
862 567 19
367 990 73
52 386 26
45 870 44
634 825 85
965 210 82
141 330 80
782 787 87
216 116 29
728 332 23
805 735 64
540 463 6
564 776 75
216 861 23
842 509 26
388 834 99
443 229 52
93 73 41
587 627 62
209 495 4
956 137 35
645 913 54
734 698 57
77 972 71
851 421 76
477 859 74
590 415 53
694 19 8
599 733 70
650 357 86
882 133 14
488 374 11
924 187 14
172 273 65
155 115 12
125 890 40
83 855 73
40 603 72
254 63 34
245 498 84
198 133 31
120 934 61
695 444 98
372 644 17
784 339 64
968 630 73
158 838 32
160 576 67
945 637 8
782 63 54
378 32 36
331 59 55
128 807 69
6 746 1
267 808 46
19 964 69
666 22 60
96 976 42
303 133 75
518 833 52
595 722 35
560 276 21
159 505 98
36 42 61
174 641 41
492 570 30
491 70 36
386 180 65
339 999 1
136 852 20
661 818 17
463 417 26
836 696 13
899 643 0
791 675 39
144 900 60
571 502 77
774 99 34
288 14 14
111 941 61
906 918 24
754 707 44
641 447 31
564 971 5
702 831 11
536 421 81
811 723 25
120 741 15
577 367 55
965 627 55
233 922 63
892 170 1
221 60 77
537 511 0
709 268 48
47 677 28
404 608 10
133 545 80
280 316 31
205 715 19
254 346 71
496 212 44
31 588 86
14 887 14
399 581 5
569 477 2
714 137 4
242 623 41
333 785 26
961 284 6
256 28 76
895 132 20
969 540 26
523 844 82
271 49 97
495 696 24
742 445 6
553 279 34
744 680 70
178 104 4
719 383 93
460 994 17
295 262 26
388 457 27
866 429 20
560 759 19
104 160 17
452 872 18
27 247 43
313 674 84
862 843 18
90 66 36
515 305 14
518 330 77
326 747 5
811 514 13
151 99 62
609 569 50
617 574 61
435 714 33
460 282 23
936 535 21
727 972 7
71 961 4
351 409 55
403 383 15
431 326 54
101 491 44
266 668 92
434 445 62
979 351 52
905 975 1
322 547 56
235 814 74
593 420 67
318 418 32
478 262 16
109 151 20
293 676 85
470 649 22
818 626 76
172 218 21
67 691 17
168 900 69
681 159 53
961 907 51
193 449 1
500 368 87
929 404 58
805 968 64
26 682 93
860 747 63
31 417 90
794 518 56
789 346 27
58 194 45
826 552 2
423 161 4
220 224 95
193 888 76
734 49 84
654 114 69
770 36 54
202 782 3
302 167 90
315 452 66
940 86 62
781 680 37
420 419 15
364 626 84
537 36 60
889 30 30
717 4 44
904 968 16
492 575 1
482 24 84
621 544 74
285 81 99
886 715 4
404 794 91
314 387 59
298 96 22
490 218 86
449 152 18
507 402 98
149 887 71
713 908 41
860 805 74
720 956 30
170 525 81
852 189 6
80 372 45
949 438 68
978 156 92
144 394 1
642 960 16
960 656 6
307 520 89
20 66 55
150 7 29
321 976 95
129 188 42
790 477 31
201 401 85
985 145 39
585 13 1
325 124 99
764 87 30
258 648 4
111 418 32
536 581 30
561 415 73
862 181 63
907 786 93
348 953 47
317 796 23
276 42 50
956 605 91
348 356 28
65 756 69
388 874 11
345 143 1
281 912 73
461 698 62
643 848 94
888 598 70
217 198 8
691 586 50
626 233 49
501 925 59
716 178 34
596 555 9
360 240 21
9 416 98
411 347 25
298 463 47
288 238 49
341 296 20
858 508 57
739 798 42
133 355 54
881 944 14
196 402 38
854 146 25
801 421 29
853 605 76
350 682 59
676 76 65
813 547 89
779 372 87
564 710 41
333 283 74
122 517 18
728 172 22
952 573 58
500 286 29
509 130 83
141 164 12
18 308 16
729 32 71
649 15 1
102 759 36
274 436 51
579 569 17
614 488 16
119 580 37
793 786 51
168 491 52
327 206 71
669 818 53
942 485 5
746 682 97
682 765 81
145 328 30
477 231 49
638 966 28
967 167 54
548 307 49
834 763 40
386 235 1
691 89 4
271 792 56
420 264 55
307 400 79
438 417 66
298 296 46
757 688 67
842 677 52
671 586 67
206 290 41
494 119 89
754 397 25
537 125 45
946 356 80
224 483 58
880 44 49
207 5 54
118 987 2
917 957 81
47 411 89
802 14 44
128 474 52
526 945 53
453 190 19
747 434 96
49 679 11
983 880 6
70 736 88
692 640 64
451 576 67
885 999 16
124 613 87
129 450 87
522 52 17
672 100 63
793 533 85
923 683 23
612 462 46
460 149 54
506 409 27
252 915 78
526 132 65
273 68 94
297 431 4
902 135 73
628 181 50
131 715 32
758 816 92
222 177 69
964 65 2
68 344 74
866 57 56
382 64 56
184 650 21
742 990 11
185 127 79
631 469 5
567 71 18
6 872 58
570 884 39
653 667 21
703 25 73
219 891 77
318 310 66
43 825 41
298 350 82
964 62 40
186 800 77
343 974 25
145 378 55
96 520 17
841 672 75
809 816 51
377 390 5
295 127 28
906 464 46
749 530 38
73 200 0
695 201 19
250 745 11
663 785 22
797 330 4
161 585 42
567 250 63
141 3 92
242 910 75
58 
